,name,difficulty_code,district,difficulty,description,polyline
3544,SW ORCHARD ST,i,Current,#FFFF00,In street major separation,"[(47.53795416749795, -122.36109186709533), (47.5379505674441, -122.36110766402776), (47.53794616729336, -122.3611917370189), (47.53794562718103, -122.36119750230154), (47.53794518990097, -122.36120219771813), (47.537944829178066, -122.36120621122322), (47.53794447333894, -122.36121022694464), (47.53794412448858, -122.36121424494418), (47.537943779146595, -122.36121826304655), (47.53794343659714, -122.36122228226738), (47.53794309615265, -122.36122630154978), (47.53794275711139, -122.36123032087342), (47.537942417354444, -122.36123434121247), (47.53794207550615, -122.36123836045373), (47.53794173016319, -122.36124237855577), (47.537941381325666, -122.3612463955187), (47.537941026888504, -122.36125041128071), (47.53794066544824, -122.36125442580085), (47.53794029633111, -122.3612584369859), (47.53793991810592, -122.36126244686724), (47.53793952939714, -122.36126645333142), (47.53793912878742, -122.36127045737328), (47.5379387162908, -122.3612744579567), (47.5379382891004, -122.36127845499945), (47.53793784723035, -122.36128244746514), (47.53793738856145, -122.36128643632848), (47.537936927170435, -122.36129057541899), (47.53793643912807, -122.36129455616464), (47.53793594266543, -122.36129853666323), (47.53793543710855, -122.36130251482199), (47.53793492384701, -122.36130649171807), (47.53793440289467, -122.36131046631533), (47.53793387282033, -122.36131444064509), (47.5379333350691, -122.36131841163981), (47.53793278891151, -122.36132238135134), (47.5379322336597, -122.36132634872295), (47.537931670717164, -122.36133031379575), (47.53793110009769, -122.3613342755334), (47.53793052035628, -122.36133823700364), (47.53792993226413, -122.36134219304586), (47.53792933576562, -122.36134614780488), (47.53792873088852, -122.36135009920831), (47.537928117618996, -122.36135404829236), (47.53792749598486, -122.36135799298457), (47.53792686595826, -122.36136193535742), (47.537926227567006, -122.36136587333846), (47.537925580783295, -122.36136980900015), (47.5379249256629, -122.36137373819767), (47.53792426142045, -122.3613776671275), (47.537923588827375, -122.36138159062942), (47.537922907869614, -122.3613855097395), (47.5379222050193, -122.3613892820469), (47.537921507304574, -122.36139319444574), (47.53792080049567, -122.36139710450458), (47.5379200852942, -122.36140101224409), (47.53791936170038, -122.36140491766417), (47.53791862902631, -122.36140881970812), (47.53791788795972, -122.36141271943247), (47.53791713921633, -122.3614166158219), (47.537916381392755, -122.36142050883505), (47.53791561519056, -122.36142439849272), (47.53791484060995, -122.3614282847947), (47.537914057636776, -122.36143216877716), (47.53791326631298, -122.3614360473317), (47.537912466596694, -122.36143992356673), (47.53791165921758, -122.3614437954306), (47.537910842786054, -122.36144766184584), (47.53791001866371, -122.36145152596225), (47.5379091861769, -122.36145538568684), (47.53790834532537, -122.36145924101947), (47.53790749610926, -122.36146309196037), (47.53790663924422, -122.36146693749387), (47.537905774000656, -122.36147077967169), (47.5379049004064, -122.36147461642157), (47.53790401916327, -122.36147844776384), (47.53790312955545, -122.36148227471443), (47.53790222626141, -122.36148591882186), (47.53790132131385, -122.36148973806601), (47.537900406584434, -122.36149355391336), (47.53789948350437, -122.36149736433273), (47.53789855200399, -122.36150117450501), (47.537897612180785, -122.36150497717686), (47.53789666465288, -122.36150877858603), (47.53789570805872, -122.3615125755828), (47.5378947438016, -122.36151636820824), (47.53789377120783, -122.36152015436942), (47.53789279020761, -122.36152393924735), (47.53789180085679, -122.36152771869722), (47.53789080385702, -122.36153149273969), (47.53788979919428, -122.36153526241078), (47.537888785479275, -122.36153902663332), (47.53788776408737, -122.36154278752065), (47.537886735060546, -122.36154654196449), (47.537885697669026, -122.36155029201639), (47.53788465264251, -122.36155403562461), (47.53788359925146, -122.3615577748409), (47.5378825382253, -122.36156150761364), (47.5378814695363, -122.36156523601497), (47.5378803932123, -122.36156895797272), (47.537879308551524, -122.36157267346613), (47.5378782183622, -122.36157669563063), (47.53787711838958, -122.36158040134535), (47.53787601005243, -122.36158410266817), (47.53787489335063, -122.36158779959906), (47.53787376828436, -122.36159149213812), (47.537872635568995, -122.36159517926961), (47.53787149448917, -122.36159886200927), (47.537870345044674, -122.36160254035708), (47.53786918796522, -122.36160621226122), (47.53786802322288, -122.36160987979395), (47.53786685011593, -122.36161354293488), (47.53786566937403, -122.36161719963202), (47.537864480281385, -122.36162085090113), (47.53786328353992, -122.3616244967628), (47.53786207914939, -122.36162813721697), (47.537860867123854, -122.36163177122732), (47.53785964744943, -122.36163539983028), (47.53785842013995, -122.36163902198948), (47.53785718449381, -122.36164263768447), (47.5378559419004, -122.36164624799247), (47.53785469097022, -122.36164985183623), (47.53785343382239, -122.36165344824121), (47.53785216832393, -122.3616570392181), (47.53785089520441, -122.36166062271509), (47.53784961515153, -122.36166419978899), (47.5378483084571, -122.36166756565177), (47.5378470124046, -122.36167113189003), (47.53784570871716, -122.36167469168461), (47.537844396679105, -122.36167824605111), (47.537843076978156, -122.3616817960463), (47.53784174965615, -122.36168533856151), (47.53784041467127, -122.36168887670544), (47.53783907134961, -122.36169240838497), (47.53783772039302, -122.36169593362084), (47.53783636178752, -122.36169945344923), (47.53783499695032, -122.36170296687511), (47.53783362235919, -122.36170647483165), (47.53783224155031, -122.36170997534931), (47.53783085310645, -122.36171346942349), (47.53782945702756, -122.36171695705386), (47.5378280533277, -122.36172043720427), (47.537826642680514, -122.36172391196779), (47.53782522442619, -122.36172737821508), (47.53782379923857, -122.36173083803925), (47.53782236641593, -122.36173429141988), (47.537820925986246, -122.36173773628425), (47.537819479324895, -122.36174117474617), (47.53781802504241, -122.36174460572803), (47.537816563854555, -122.36174802821441), (47.53781511366666, -122.36175172883159), (47.53781363722271, -122.3617551373943), (47.537812154533206, -122.36175854059066), (47.53781066352101, -122.36176193628651), (47.537809164859866, -122.36176532657478), (47.53780765786206, -122.3617687103988), (47.537806144646474, -122.36177208678409), (47.53780462309434, -122.36177545670489), (47.53780309460882, -122.36177882020277), (47.53780155848829, -122.36178217725681), (47.53780001544844, -122.3617855268515), (47.5377984647876, -122.36178886896619), (47.53779690720731, -122.36179220362166), (47.53779534199203, -122.36179553183327), (47.53779376985742, -122.36179885258555), (47.53779219151912, -122.36180216486291), (47.537790604844034, -122.361805470676), (47.53778901196531, -122.36180876801409), (47.537787412181046, -122.36181205685655), (47.53778580546362, -122.36181533927598), (47.53778419184064, -122.3618186131998), (47.53778257131231, -122.36182187862805), (47.5377809445663, -122.36182513661764), (47.53777931161654, -122.36182838613216), (47.53777767037196, -122.36183162607388), (47.537776001445444, -122.36183478434873), (47.53777434568831, -122.36183800727875), (47.53777268160847, -122.36184122270816), (47.53777100921986, -122.36184442960099), (47.537769329224155, -122.3618476279776), (47.537767641621336, -122.36185081783802), (47.5377659463975, -122.3618540002187), (47.53776424426817, -122.3618571741037), (47.53776253521958, -122.36186034052929), (47.537760818549955, -122.36186349947505), (47.53775909564864, -122.36186665201808), (47.537757366557585, -122.36186979505015), (47.53775563123494, -122.36187293167954), (47.53775388969459, -122.3618760608701), (47.537752141922674, -122.36187918365815), (47.5377503893365, -122.36188229904853), (47.53774863051864, -122.36188540803633), (47.537746866886565, -122.36188850962647), (47.537745098398254, -122.36189160692768), (47.53774332440799, -122.36189469577445), (47.53774154627729, -122.36189777931655), (47.53773976331832, -122.36190085649717), (47.53773797623271, -122.3619039273371), (47.53773618500667, -122.3619069928723), (47.53773438754927, -122.36191020853084), (47.537732590821115, -122.36191326561148), (47.537730792703435, -122.36191632161453), (47.53772899459968, -122.36191937658108), (47.5377271951203, -122.36192242943395), (47.53772539423743, -122.3619254822455), (47.53772359266677, -122.36192853400006), (47.53772179112391, -122.36193158368197), (47.537719987489936, -122.36193463226569), (47.53771818385577, -122.36193768084928), (47.53771637953389, -122.36194072837586), (47.537714573822306, -122.36194377482495), (47.53771276742302, -122.36194682021691), (47.53771096033589, -122.36194986455196), (47.53770915256097, -122.36195290783006), (47.5377073447999, -122.36195595007175), (47.53770553563535, -122.36195899227195), (47.537703725796945, -122.36196203237914), (47.53770191525677, -122.36196507246535), (47.53770010401488, -122.36196811253097), (47.53769829280069, -122.36197115052383), (47.53769648088481, -122.36197418849605), (47.53769466757935, -122.36197722539055), (47.53769285427383, -122.36198026228496), (47.53769104098222, -122.3619832981429), (47.53768922630104, -122.36198633292335), (47.53768741161979, -122.36198936770352), (47.537685596250775, -122.3619924014267), (47.537683780881665, -122.3619954351497), (47.53768196412297, -122.3619984677951), (47.537680148065945, -122.3620015004609), (47.53767833060541, -122.3620045330853), (47.537676513874445, -122.36200756365771), (47.53767469573998, -122.36201059418873), (47.53767287829323, -122.36201362577637), (47.53767106017254, -122.36201665527074), (47.53766924135006, -122.36201968474435), (47.537667422527555, -122.36202271421783), (47.53766560300328, -122.36202574367039), (47.537663784882284, -122.36202877316397), (47.53766196467008, -122.36203180155948), (47.53766014515949, -122.36203482997522), (47.53765832494713, -122.36203785837027), (47.537656505450336, -122.36204088574944), (47.537654685237804, -122.3620439141439), (47.53765286503912, -122.36204694150211), (47.53765104482651, -122.36204996989636), (47.53764922462766, -122.36205299725411), (47.53764740372704, -122.36205602459107), (47.53764558352814, -122.36205905194825), (47.537643763329065, -122.36206207930553), (47.537641942428245, -122.36206510664185), (47.53764012221505, -122.36206813503473), (47.53763830201575, -122.3620711623912), (47.53763648181637, -122.36207418974752), (47.537634661602965, -122.36207721813976), (47.53763284140346, -122.36208024549559), (47.53763102189153, -122.36208327390793), (47.537629201664004, -122.36208630333579), (47.53762738216589, -122.3620893307116), (47.53762556334149, -122.36209236018013), (47.537623743829265, -122.36209538859175), (47.53762192500472, -122.36209841805982), (47.53762010618012, -122.36210144752779), (47.53761828804316, -122.36210447805215), (47.53761646990611, -122.36210750857643), (47.53761465178291, -122.36211053806436), (47.53761283431956, -122.36211357068113), (47.53761101757166, -122.3621166022822), (47.537609200823766, -122.36211963388293), (47.537607384763504, -122.36212266654022), (47.53760556868921, -122.36212570023356), (47.53760375331645, -122.36212873394723), (47.537601937943734, -122.36213176766074), (47.53760012396023, -122.36213480245134), (47.537598309261156, -122.36213783825733), (47.53759649596526, -122.3621408741043), (47.53759468335706, -122.36214391100782), (47.53759287073482, -122.36214694894733), (47.53759105881421, -122.36214998690728), (47.537589247581266, -122.36215302592372), (47.537587437751625, -122.36215606498115), (47.53758562649068, -122.3621591060695), (47.537583817334635, -122.36216214721942), (47.53758200886628, -122.36216518942595), (47.53758020108553, -122.36216823268904), (47.53757839330473, -122.36217127595191), (47.537576586899355, -122.36217432132807), (47.53757478119556, -122.36217736672458), (47.53757297617949, -122.36218041317775), (47.537571171851, -122.36218346068748), (47.53756936819624, -122.36218651028986), (47.5375675659448, -122.36218955993327), (47.53756576438101, -122.3621926106332), (47.53756396350483, -122.36219566238972), (47.537562163302375, -122.36219871623905), (47.53756036450325, -122.36220177012926), (47.537558566391745, -122.36220482507599), (47.53755676896796, -122.36220788107937), (47.53755497291953, -122.36221093919602), (47.53755319589098, -122.36221388799176), (47.537551403968884, -122.36221695244863), (47.53754961548531, -122.36222002218918), (47.53754783185779, -122.36222309621833), (47.537546051640916, -122.36222617760357), (47.53754427625216, -122.3622292653498), (47.53754250570535, -122.36223235842087), (47.53754073998653, -122.36223545785286), (47.53753897908192, -122.36223856468213), (47.5375372244087, -122.36224167791353), (47.537535473847875, -122.36224479852164), (47.537533729546375, -122.36224792345949), (47.53753199144834, -122.36225105687184), (47.537530258866084, -122.36225419770211), (47.53752853250135, -122.36225734597065), (47.53752681306966, -122.36226050066206), (47.53752509984165, -122.362263663828), (47.537523394248204, -122.3622668334373), (47.537521694156695, -122.36227001150051), (47.53752000238769, -122.36227319706394), (47.53751831752387, -122.36227639112244), (47.53751664098257, -122.36227959268115), (47.537514970644835, -122.36228280271449), (47.537513310720634, -122.36228602134577), (47.53751165770167, -122.36228924847225), (47.53751001299132, -122.36229248413515), (47.53750838767244, -122.36229568719587), (47.53750675747418, -122.36229893986956), (47.53750513418108, -122.36230220103842), (47.53750351779317, -122.36230547070242), (47.53750190762269, -122.36230874780486), (47.53750030435749, -122.36231203340242), (47.53749870801138, -122.36231532645904), (47.53749711858436, -122.3623186269744), (47.537495536062565, -122.36232193598522), (47.53749396044604, -122.36232525349102), (47.53749239246418, -122.36232857744025), (47.53749083069977, -122.3623319088278), (47.537489276556194, -122.36233524769497), (47.53748772933182, -122.36233859402111), (47.537486190443836, -122.36234194681127), (47.537484657071644, -122.36234530701918), (47.53748313202188, -122.36234867472729), (47.53748161390528, -122.36235204885818), (47.53748010342335, -122.36235542943245), (47.5374786005623, -122.36235881748625), (47.537477104648254, -122.36236221092675), (47.53747561705667, -122.36236561186729), (47.53747413641212, -122.3623690181946), (47.537472664090124, -122.36237243202203), (47.53747119871505, -122.362375851236), (47.53746974839101, -122.3623793517456), (47.53746829827151, -122.36238278488263), (47.53746685507114, -122.36238622547864), (47.5374654194916, -122.36238967355419), (47.53746399012952, -122.36239312906818), (47.53746256980557, -122.36239659106673), (47.537461154295634, -122.36240006046249), (47.53745974780985, -122.36240353737902), (47.5374583482433, -122.36240702175448), (47.53745695562361, -122.36241051151661), (47.537455570610845, -122.36241400979458), (47.53745419324678, -122.3624175134798), (47.537452823517484, -122.36242102360829), (47.53745146072122, -122.36242454015965), (47.537450106247455, -122.36242806421126), (47.53744875873461, -122.36243159261328), (47.53744741954424, -122.3624351285154), (47.53744608730092, -122.3624386698043), (47.53744476410961, -122.36244221654151), (47.537443447121866, -122.36244577175337), (47.537442138526266, -122.36244932928454), (47.53744083756535, -122.362452893259), (47.53743954495486, -122.36245646266144), (47.537438259979076, -122.36246003850715), (47.53743698406932, -122.36246361876515), (47.53743572086451, -122.36246708951731), (47.537434460238174, -122.36247068162604), (47.53743320933772, -122.3624742812761), (47.53743196746132, -122.36247788844688), (47.537430733205774, -122.36248150309746), (47.53742950728671, -122.3624851242119), (47.537428289690034, -122.36248875282662), (47.53742708114538, -122.36249238688967), (47.5374258795199, -122.36249602841181), (47.537424686244755, -122.36249967536183), (47.53742350061828, -122.36250332771908), (47.53742232264049, -122.3625069854835), (47.53742115229743, -122.36251064969147), (47.53741998751198, -122.36251431820871), (47.53741883107684, -122.36251799215378), (47.53741768090096, -122.36252167042876), (47.53741653768603, -122.3625253530542), (47.53741540073035, -122.36252904000956), (47.53741427004784, -122.36253273025862), (47.53741314563851, -122.36253642380136)]"
3545,4TH AVE,i,Current,#FFFF00,In street major separation,"[(47.61383118744241, -122.34133314706354), (47.614600399212115, -122.34263408927342)]"
3546,NW 58TH ST,e,Current,#00FF00,Enhanced Street,"[(47.67091982786657, -122.39014237802127), (47.670921161181944, -122.3928709419179)]"
3547,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53709507502873, -122.29366836703664), (47.536761546068576, -122.29316877200569)]"
3548,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.53992198500446, -122.3872689312172), (47.539377446179046, -122.38727488560716), (47.53889025432727, -122.38728022810704)]"
3549,MAGNOLIA BLVD W,d,Current,#FF0000,In street minor separation,"[(47.64552069980501, -122.41419577741048), (47.645657858035015, -122.41423830881439), (47.64572178862605, -122.41425290672073), (47.645925002967424, -122.41426317064155), (47.645925706572044, -122.41426320449906), (47.64679320009903, -122.41425457301277)]"
3552,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.5323706974066, -122.28850710323017), (47.5322997133575, -122.28847155815619), (47.53192265159946, -122.28827101713422), (47.531684576536875, -122.28817194641005)]"
3556,S ALBRO PL,i,Current,#FFFF00,In street major separation,"[(47.54639991314906, -122.31611911302551), (47.54666084480348, -122.3155874161706), (47.54668307973073, -122.3155421067441), (47.54671429543131, -122.31547849576306), (47.54674451157488, -122.31541692565081), (47.546826011828784, -122.3152508517888), (47.546826531047174, -122.31524979246959), (47.5468819744463, -122.31513681417121), (47.54693696704217, -122.31502475383142), (47.54699111007443, -122.3149144233094)]"
3561,35TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.67941565016804, -122.29037619611826), (47.68123206143124, -122.29042762779504)]"
3562,NE RAVENNA BLVD,i,Current,#FFFF00,In street major separation,"[(47.674523483916275, -122.3211333671283), (47.6743615097306, -122.32098331295408), (47.674135042403336, -122.32077351199295), (47.674000052901604, -122.32064845847428)]"
3567,NE 40TH ST,i,Current,#FFFF00,In street major separation,"[(47.65540850249361, -122.31785770840835), (47.6554003952835, -122.31732834447232)]"
3568,W EMERSON ST,d,Current,#FF0000,In street minor separation,"[(47.65409191656637, -122.40998430722526), (47.654092150990216, -122.41031364343002), (47.65409431579662, -122.4110207025497)]"
3570,FUHRMAN AVE E,d,Current,#FF0000,Sharrows,"[(47.65003444091275, -122.31988233227399), (47.65073133823787, -122.32051113455857)]"
3571,12TH AVE NE,i,Current,#FFFF00,In street major separation,"[(47.67415695190658, -122.31565782121278), (47.67497951729505, -122.31565783300007)]"
3573,N 43RD ST,e,Current,#00FF00,Enhanced Street,"[(47.6591522165072, -122.33620817854768), (47.65914587181487, -122.33501394099545)]"
3578,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.544618786025765, -122.2997982387655), (47.54414180930298, -122.29965293903918)]"
3581,18TH AVE S,e,Current,#00FF00,Enhanced Street,"[(47.57957967643093, -122.30931624137989), (47.57896610737424, -122.3093149554041), (47.57873954274103, -122.30931448216167)]"
3582,32ND AVE NW,d,Current,#FF0000,In street minor separation,"[(47.677290374937165, -122.39837346562688), (47.678003257087006, -122.39837687568046)]"
3583,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.72925905096477, -122.2823390965532), (47.72929181241163, -122.28234293343837), (47.72934933551184, -122.28234788073495), (47.72939865262138, -122.28235041936095), (47.7294397412854, -122.28235104599412), (47.72948361568034, -122.28235097632124), (47.72952747251328, -122.28234958172307), (47.729568587194365, -122.28234760806984), (47.72962058777485, -122.28234313435694), (47.72967795615011, -122.28233606065898), (47.729705237548444, -122.28233205080072), (47.729746112934635, -122.28232515451576), (47.72978417114281, -122.28231778319409), (47.72984375050045, -122.28230447667012), (47.73008027471895, -122.28224824544084), (47.73047053689684, -122.28215560192534), (47.73053289097051, -122.28214196671048), (47.73058728830502, -122.28213177482974), (47.7306499951253, -122.28212197817123), (47.73071833802575, -122.28211376936603), (47.73076756544172, -122.2821094988446), (47.73081139293495, -122.28210682137933), (47.73088264713736, -122.28210471891441), (47.73093749604898, -122.28210517379146), (47.73098561775223, -122.28210721487045), (47.731034849010996, -122.28211098594801), (47.73108130842742, -122.2821164047196), (47.73112764421343, -122.28212381976968), (47.7311765807896, -122.2821336588047), (47.73122257819188, -122.282144779846), (47.73126837501532, -122.28215793144916), (47.731324531859954, -122.28217616239922), (47.731390945709464, -122.28220161419928), (47.73144619251058, -122.28222523014416), (47.73149321083363, -122.28224743349493), (47.73152957021346, -122.28226615146413), (47.73159384357977, -122.28230129167503), (47.73162177483603, -122.28231790167048), (47.731629465479806, -122.28232247476114), (47.731682364880164, -122.2823562634282), (47.73172716425713, -122.28238681604883), (47.73177756139946, -122.28242329739183), (47.73181877174504, -122.28245556136524), (47.73186177250294, -122.28249143475371), (47.73191575605364, -122.28253977664617), (47.73194570679387, -122.28256826175749), (47.73198209822593, -122.28260456155883)]"
